Gadgets information
============================================================
0x000000000011442f : call qword ptr [r10] // 41ff12
0x0000000000076d5f : call qword ptr [r14] // 41ff16
0x00000000000ba867 : call qword ptr [r15] // 41ff17
0x000000000000238e : cwde ; retf -0x7e40 // 98cac081
0x0000000000181f32 : hlt ; call qword ptr [rbx] // f4ff13
0x000000000015d97a : hlt ; call qword ptr [rdx] // f4ff12
0x0000000000181f72 : hlt ; call qword ptr [rsi] // f4ff16
0x0000000000180ab2 : hlt ; call rdi // f4ffd7
0x000000000018213a : hlt ; call rdx // f4ffd2
0x000000000015d9c6 : hlt ; call rsi // f4ffd6
0x000000000016d4ea : hlt ; call rsp // f4ffd4
0x0000000000181baa : hlt ; jmp qword ptr [rax] // f4ff20
0x0000000000181fb2 : hlt ; jmp qword ptr [rcx] // f4ff21
0x00000000001817ea : hlt ; jmp qword ptr [rdi] // f4ff27
0x0000000000180922 : hlt ; jmp qword ptr [rdx] // f4ff22
0x0000000000181a2a : hlt ; jmp rbx // f4ffe3
0x0000000000180c7a : hlt ; jmp rdx // f4ffe2
0x000000000015daba : hlt ; jmp rsp // f4ffe4
0x000000000005a62b : hlt ; ret // f4c3
0x000000000016f068 : hlt ; ret 0xfff8 // f4c2f8ff
0x0000000000149ca8 : hlt ; ret 0xfff9 // f4c2f9ff
0x000000000017d5fc : hlt ; retf // f4cb
0x00000000000f2fe8 : hlt ; retf -1 // f4caffff
0x000000000016ed84 : hlt ; retf 1 // f4ca0100
0x00000000001740c2 : in al, dx ; call qword ptr [rax] // ecff10
0x0000000000173b6a : in al, dx ; call qword ptr [rcx] // ecff11
0x00000000001740da : in al, dx ; call qword ptr [rdx] // ecff12
0x0000000000173fd2 : in al, dx ; call qword ptr [rsi] // ecff16
0x0000000000174a72 : in al, dx ; call rax // ecffd0
0x0000000000174362 : in al, dx ; call rcx // ecffd1
0x000000000016b35a : in al, dx ; call rsp // ecffd4
0x0000000000173eca : in al, dx ; jmp qword ptr [rax] // ecff20
0x0000000000173eb2 : in al, dx ; jmp qword ptr [rbx] // ecff23
0x00000000001730da : in al, dx ; jmp qword ptr [rcx] // ecff21
0x0000000000173ee2 : in al, dx ; jmp qword ptr [rdx] // ecff22
0x000000000017340a : in al, dx ; jmp qword ptr [rsi] // ecff26
0x0000000000175322 : in al, dx ; jmp rcx // ecffe1
0x00000000001752d2 : in al, dx ; jmp rdi // ecffe7
0x000000000016b452 : in al, dx ; jmp rsp // ecffe4
0x000000000017cdf4 : in al, dx ; ret // ecc3
0x000000000015ac0d : in al, dx ; retf -0x51ce // ecca32ae
0x0000000000175542 : in eax, dx ; call qword ptr [rcx] // edff11
0x000000000017549a : in eax, dx ; call qword ptr [rdi] // edff17
0x0000000000157216 : in eax, dx ; call qword ptr [rdx] // edff12
0x000000000014abd2 : in eax, dx ; call rax // edffd0
0x0000000000157106 : in eax, dx ; call rcx // edffd1
0x000000000017565a : in eax, dx ; call rdi // edffd7
0x000000000016bd32 : in eax, dx ; call rsp // edffd4
0x000000000015712e : in eax, dx ; jmp rbx // edffe3
0x000000000016bb22 : in eax, dx ; jmp rsp // edffe4
0x0000000000098902 : in eax, dx ; ret // edc3
0x0000000000159018 : in eax, dx ; retf // edcb
0x000000000016c21c : insb byte ptr [rdi], dx ; ret // 6cc3
0x000000000005adbf : insb byte ptr [rdi], dx ; ret 0xffff // 6cc2ffff
0x000000000016ec7c : insb byte ptr [rdi], dx ; ret 1 // 6cc20100
0x000000000016c31c : insb byte ptr [rdi], dx ; retf // 6ccb
0x000000000016c304 : insb byte ptr [rdi], dx ; retf 0 // 6cca0000
0x0000000000001bf4 : insd dword ptr [rdi], dx ; ret 0x1bb7 // 6dc2b71b
0x00000000001594ad : insd dword ptr [rdi], dx ; ret 0xb9b9 // 6dc2b9b9
0x00000000000b36c7 : insd dword ptr [rdi], dx ; ret 0xfff6 // 6dc2f6ff
0x000000000004cb8f : insd dword ptr [rdi], dx ; retf 0x11 // 6dca1100
0x0000000000002c3b : int 0x80 // cd80
0x00000000000034e0 : int 0xcb // cdcb
0x000000000017d47a : int1 ; call qword ptr [rax] // f1ff10
0x000000000017d492 : int1 ; call qword ptr [rdx] // f1ff12
0x000000000017d0f2 : int1 ; call qword ptr [rsi] // f1ff16
0x00000000000210e4 : int1 ; call rbx // f1ffd3
0x000000000017d36a : int1 ; call rdi // f1ffd7
0x000000000017cf72 : int1 ; call rdx // f1ffd2
0x000000000017cfa2 : int1 ; call rsi // f1ffd6
0x000000000016cada : int1 ; call rsp // f1ffd4
0x000000000017d462 : int1 ; jmp qword ptr [rax] // f1ff20
0x000000000017c8e2 : int1 ; jmp qword ptr [rbx] // f1ff23
0x000000000017d0da : int1 ; jmp qword ptr [rdi] // f1ff27
0x000000000015ccce : int1 ; jmp qword ptr [rsi] // f1ff26
